BANK;NUMBER
"BCO ITAÚ BBA S.A.	184";184
"ITAÚ UNIBANCO S.A.	341";341
"BANCO DO BRASIL S.A. 001";001
"001 Bco Do Brasil S.A";001
"CAIXA ECONOMICA FEDERAL 104";104
"003 Bco Da Amazonia S.A";003
"004 Bco Do Nordeste Do Brasil S.A";004
"021 Bco Banestes S.A";021
"033 Bco Santander (Brasil) S.A";033
"037 Bco Do Est. Do Pa S.A";037
"041 Bco Do Estado Do Rs S.A";041
"047 Bco Do Est. De Se S.A";047
"070 Brb - Bco De Brasilia S.A";070
"077 Banco Inter";077
"077 - Banco Inter";077
"BANCO INTER     77";077
"BANCO INTER 77";077
"083 Bco Da China Brasil S.A";083
"104 Caixa Economica Federal";104
"208 Banco Btg Pactual S.A";208
"212 Banco Original";212
"237 Bco Bradesco S.A";237
"318 Bco Bmg S.A";318
"341 Itaú Unibanco S.A";341
"422 Bco Safra S.A";422
"623 Banco Pan";623
"NU PAGAMENTOS S.A";260
"BANCO DO BRASIL S.A";001
"BANCO INTER";077
"CAIXA ECONOMICA FEDERAL";104
"BCO BRADESCO S.A";237
"ITAÚ UNIBANCO S.A..";341
"PAGSEGURO";290
"BCO SANTANDER (BRASIL) S.A";033
"BCO DO EST. DO PA S.A";037
"BCO C6 S.A";336
"NU PAGAMENTOS S.A. (Nubank)	260";260
"BCO BRADESCO S.A.       237";237
"BCO VOTORANTIM S.A.     655";655
"BCO SANTANDER (BRASIL) S.A.     33";033
"BCO VOTORANTIM S.A. 655";655
"BANCO INTER77";077
"BANCO ORIGINAL 212";212
"BCO SANTANDER (BRASIL) S.A. 33";033
"BCO BRADESCO S.A.	237";237
"BANCO ORIGINAL	212";212
"BCO VOTORANTIM S.A.	655";655
"BCO SANTANDER (BRASIL) S.A.	33";033
"001 Bco Do Brasil S.A	";001
"Bco Do Brasil SA";001
"001 - BANCO DO BRASIL";001
"104 - CAIXA ECONOMICA FEDERAL";104
"237 - BANCO BRADESCO";237
"341 - ITAÚ UNIBANCO";341
"033 - BANCO SANTANDER (BRASIL)";033
"260 - NU PAGAMENTOS";260
"323 - MERCADO PAGO";323
"290 - PAGSEGURO";290
"003 - BANCO DA AMAZONIA";003
"004 - BANCO DO NORDESTE DO BRASIL";004
"007 - BNDES";007
"010 - CREDICOAMO";010
"011 - C.SUISSE HEDGING-GRIFFO CV S/A";011
"012 - BANCO INBURSA";012
"014 - STATE STREET BR BANCO COMERCIAL";014
"015 - UBS BRASIL CCTVM";015
"016 - SICOOB CREDITRAN";016
"017 - BNY MELLON BANCO";017
"018 - BANCO TRICURY";018
"021 - BANCO BANESTES";021
"024 - BANCO BANDEPE";024
"025 - BANCO ALFA";025
"029 - BANCO ITAÚ CONSIGNADO";029
"036 - BANCO BBI";036
"037 - BANCO DO EST. DO PA";037
"040 - BANCO CARGILL";040
"041 - BANCO DO ESTADO DO RS";041
"047 - BANCO DO EST. DE SE";047
"060 - CONFIDENCE CC";060
"062 - HIPERCARD BM";062
"063 - BANCO BRADESCARD";063
"064 - GOLDMAN SACHS DO BRASIL BM S.A";064
"065 - BANCO ANDBANK";065
"066 - BANCO MORGAN STANLEY";066
"069 - BANCO CREFISA";069
"070 - BRB - BANCO DE BRASILIA";070
"074 - BCO. J.SAFRA";074
"075 - BANCO ABN AMRO";075
"076 - BANCO KDB BRASIL";076
"077 - BANCO INTER";077
"078 - HAITONG BI DO BRASIL";078
"079 - BANCO ORIGINAL DO AGRO S/A";079
"080 - B&T CC LTDA.";080
"081 - BANCOSEGURO";081
"082 - BANCO TOPÁZIO";082
"083 - BANCO DA CHINA BRASIL";083
"084 - UNIPRIME NORTE DO PARANÁ - CC";084
"085 - COOP CENTRAL AILOS";085
"088 - BANCO RANDON";088
"089 - CREDISAN CC";089
"091 - CCCM UNICRED CENTRAL RS";091
"092 - BRK CFI";092
"093 - POLOCRED SCMEPP LTDA.";093
"094 - BANCO FINAXIS";094
"095 - TRAVELEX BANCO DE CÂMBIO";095
"096 - BANCO B3";096
"097 - CREDISIS CENTRAL DE COOPERATIVAS DE CRÉDITO LTDA.";097
"098 - CREDIALIANÇA CCR";098
"099 - UNIPRIME CENTRAL CCC LTDA.";099
"100 - PLANNER CV";100
"101 - RENASCENCA DTVM LTDA";101
"102 - XP INVESTIMENTOS CCTVM S/A";102
"105 - LECCA CFI";105
"107 - BANCO BOCOM BBM";107
"108 - PORTOCRED - CFI";108
"111 - OLIVEIRA TRUST DTVM";111
"113 - MAGLIANO CCVM";113
"114 - CENTRAL COOPERATIVA DE CRÉDITO NO ESTADO DO ESPÍRITO SANTO";114
"117 - ADVANCED CC LTDA";117
"119 - BANCO WESTERN UNION";119
"120 - BANCO RODOBENS";120
"121 - BANCO AGIBANK";121
"122 - BANCO BRADESCO BERJ";122
"124 - BANCO WOORI BANK DO BRASIL";124
"125 - PLURAL BANCO BM";125
"126 - BR PARTNERS BI";126
"127 - CODEPE CVC";127
"128 - MS BANK BANCO DE CÂMBIO";128
"129 - UBS BRASIL BI";129
"130 - CARUANA SCFI";130
"131 - TULLETT PREBON BRASIL CVC LTDA";131
"132 - ICBC DO BRASIL BM";132
"133 - CRESOL CONFEDERAÇÃO";133
"134 - BGC LIQUIDEZ DTVM LTDA";134
"136 - UNICRED";136
"138 - GET MONEY CC LTDA";138
"139 - INTESA SANPAOLO BRASIL BM";139
"140 - EASYNVEST - TÍTULO CV SA";140
"142 - BROKER BRASIL CC LTDA.";142
"143 - TREVISO CC";143
"144 - BEXS BANCO DE CAMBIO";144
"145 - LEVYCAM CCV LTDA";145
"146 - GUITTA CC LTDA";146
"149 - FACTA CFI";149
"157 - ICAP DO BRASIL CTVM LTDA.";157
"159 - CASA CREDITO SCM";159
"163 - COMMERZBANK BRASIL - BANCO MÚLTIPLO";163
"169 - BANCO OLÉ CONSIGNADO";169
